Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
4440	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1096	nan	2	1126.432140	2	14471.913778	14462.918650	1.55923e+07	10	24	223	0.903313	0.832142	0.864574	113.143	24.81	12.3414	19	762.247057	762.818050	0.531226	0.531226	1
4441	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1096	nan	2	1126.432140	2	26899.265653	26882.464888	2.22494e+06	25	27	26	0.923314	0.828799	1	44.0283	33.0992	5.71122	25	1076.644008	1076.912052	0.469068	0.469068	1
4442	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1097	nan	2	1127.054640	2	27936.769172	27919.388510	4.91886e+06	31	41	123	0.891757	0.7608	0.77155	61.0555	21.0619	5.45615	38	735.864034	736.166988	0.458170	0.458170	1
4443	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1097	nan	3	1127.054640	2	28939.946256	28921.891445	2.31635e+07	29	43	292	0.917589	0.805477	0.834464	132.433	28.964	8.653	32	905.180905	905.545287	0.558976	0.558976	1
4444	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1098	nan	1	1127.678640	4	14519.070919	14510.064209	1.50604e+07	15	22	222	0.908229	0.732756	0.929738	64.9529	12.7835	16.8353	17	854.634230	855.616259	0.530831	0.530831	1
4445	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1098	nan	2	1127.678640	4	14521.584989	14512.564734	1.13465e+07	15	20	113	0.901361	0.850831	0.952831	62.9733	28.9267	12.5077	15	968.721976	969.209729	0.467471	0.467471	1
4446	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1098	nan	2	1127.678640	4	28261.487055	28243.809367	6.69488e+06	39	43	81	0.959297	0.896604	0.773788	108.55	63.6901	5.39507	39	725.388481	725.655309	0.577723	0.577723	1
4447	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1098	nan	3	1127.678640	4	30038.144823	30019.421395	3.60682e+06	28	30	34	0.913685	0.885307	0.816649	109.507	57.718	7.43991	30	1002.126706	1002.515370	0.491550	0.491550	1
4448	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1099	nan	2	1128.303480	1	28910.752488	28892.713549	1.38334e+07	27	46	267	0.873898	0.739074	0.775001	113.254	18.8657	5.7114	40	723.436142	723.860709	0.480151	0.480151	1
4449	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1100	nan	2	1128.926880	1	22661.213691	22647.034679	4.67848e+06	24	33	110	0.862684	0.716523	0.716652	50.6867	14.6373	8.01751	29	782.033580	782.573045	0.405211	0.405211	1
4450	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1101	nan	2	1129.553640	1	31194.468588	31174.987539	5.88906e+06	38	48	136	0.904272	0.780258	0.772504	62.4761	25.3653	5.55393	41	761.520931	761.782050	0.474150	0.474150	1
4451	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1105	nan	2	1132.124100	3	14493.734317	14484.739188	2.45187e+07	13	19	111	0.945633	0.893736	0.983065	176.347	43.7371	12.3338	16	906.473934	906.864747	0.618605	0.618605	1
4452	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1105	nan	1	1132.124100	3	27924.243785	27906.874522	8.65577e+06	25	42	217	0.890264	0.750472	0.778986	82.169	19.7564	8.67002	42	665.680505	666.153063	0.484071	0.484071	1
4453	/Users/kyowonjeong/Data/mzml/FLASHDeconv/simple/Std/190507_Thermo_Std_FD2.mzML	1105	nan	3	1132.124100	3	38525.532055	38501.502328	7.54023e+06	44	57	202	0.884427	0.743606	0.727867	121.08	22.2924	5.45592	44	876.470145	876.642409	0.495598	0.495598	1
